,Country,Year,Wins,Losses,Draws,Points_Scored,Points_Against,Ttl_Games,ATT,MID,DEF,Placement
237,Sweden,2011,6,6,1,28,12,13,81,73,75,
238,Germany,2011,6,4,3,36,17,13,83,81,81,
239,Italy,2011,4,6,2,17,6,12,79,81,79,
240,Norway,2011,7,1,1,10,10,9,80,73,76,
241,Finland,2011,4,4,2,10,15,10,73,71,73,
242,Russia,2011,5,1,5,14,4,11,82,77,78,
243,Denmark,2011,5,4,1,19,9,10,75,73,75,
244,Brazil,2011,8,3,5,21,9,16,82,81,82,
245,Spain,2011,7,4,1,30,10,12,86,85,84,
246,Poland,2011,4,5,4,14,12,13,78,74,67,
247,New Zealand,2011,2,0,1,1,7,3,67,63,66,
248,Romania,2011,6,3,5,20,15,14,67,72,73,
249,Portugal,2011,7,1,2,26,10,10,82,78,81,
250,Australia,2011,7,7,3,34,7,17,76,73,72,
251,Turkey,2011,4,2,4,10,8,10,79,79,76,
252,Mexico,2011,11,7,5,41,18,23,78,78,76,
253,Bulgaria,2011,3,3,3,5,14,9,73,73,70,
254,Ireland,2011,5,5,4,26,6,14,77,74,75,
255,Greece,2011,3,4,5,14,8,12,76,78,74,
256,Ecuador,2011,8,3,7,26,19,18,67,76,67,
257,Croatia,2011,6,2,3,17,8,11,81,79,77,
258,Korea Republic,2011,9,3,5,35,18,17,76,71,67,
259,South Africa,2011,5,1,3,10,5,9,74,71,70,
260,Cameroon,2011,3,2,5,16,7,10,78,78,75,
261,Slovenia,2011,2,5,2,8,8,9,73,71,71,
262,Czech Republic,2011,6,3,3,18,14,12,77,77,74,
263,China PR,2011,0,0,0,0,0,0,59,64,65,
264,Scotland,2012,4,1,3,9,13,8,73,74,74,
265,England,2012,5,4,4,25,13,13,82,84,82,
266,Northern Ireland,2012,2,1,4,6,17,7,72,69,70,
267,Uruguay,2012,4,1,5,12,18,10,84,76,77,
268,Austria,2012,4,2,2,13,8,8,75,74,73,
269,Hungary,2012,1,5,3,14,10,9,73,72,69,
270,Argentina,2012,5,4,2,26,11,11,89,80,76,
271,Belgium,2012,4,2,3,16,9,9,80,78,80,
272,France,2012,6,5,3,21,12,14,86,82,81,
273,Netherlands,2012,6,6,1,29,15,13,88,84,76,
274,Switzerland,2012,2,6,1,19,11,9,79,74,76,
275,Sweden,2012,7,5,1,28,19,13,83,76,73,
276,Germany,2012,5,7,2,32,22,14,83,84,81,
277,Italy,2012,5,5,4,18,19,14,84,83,81,
278,Chile,2012,5,5,1,15,18,11,80,77,71,
279,Norway,2012,2,6,2,15,10,10,75,74,74,
280,Finland,2012,2,5,3,18,14,10,68,71,70,
281,Russia,2012,5,3,5,22,7,13,81,79,78,
282,Denmark,2012,2,6,3,11,18,11,78,75,75,
283,Brazil,2012,6,6,1,38,13,13,84,80,84,
284,Spain,2012,8,5,3,42,5,16,86,87,85,
285,Poland,2012,6,3,5,19,11,14,80,75,73,
286,New Zealand,2012,2,8,3,27,14,13,65,66,65,
287,Romania,2012,4,4,2,19,10,10,75,68,70,
288,Portugal,2012,5,4,5,17,12,14,84,81,81,
289,Australia,2012,5,5,3,33,13,13,74,70,71,
290,Turkey,2012,6,5,1,18,16,12,78,76,74,
291,Mexico,2012,7,5,0,24,7,12,83,74,74,
292,Egypt,2012,10,5,5,41,13,20,69,69,70,
293,Bulgaria,2012,2,3,4,8,8,9,68,69,68,
294,Peru,2012,5,3,4,10,16,12,80,75,69,
295,Ireland,2012,4,5,3,14,20,12,77,76,74,
296,Greece,2012,3,6,4,17,12,13,72,74,76,
297,Colombia,2012,4,3,1,16,3,8,85,77,76,
298,Ecuador,2012,6,0,2,11,6,8,72,75,69,
299,Croatia,2012,3,5,3,17,14,11,79,79,74,
300,Korea Republic,2012,6,2,1,19,13,9,69,73,70,
301,South Africa,2012,5,2,4,12,7,11,71,70,69,
302,Cameroon,2012,7,4,4,20,15,15,79,75,73,
303,Slovenia,2012,5,1,2,11,14,8,78,71,69,
304,Scotland,2013,4,5,1,10,10,10,74,74,71,
305,England,2013,5,3,4,27,11,12,84,79,81,
306,Northern Ireland,2013,4,2,2,6,13,8,70,68,69,
307,Uruguay,2013,9,5,3,34,19,17,84,77,78,
308,Austria,2013,7,2,1,17,12,10,73,75,74,
309,Hungary,2013,5,0,4,14,17,9,69,68,67,
310,Argentina,2013,4,4,4,26,11,12,85,80,78,
311,Belgium,2013,3,6,2,18,11,11,79,79,79,
312,France,2013,7,3,2,20,12,12,82,78,80,
313,Netherlands,2013,3,4,5,30,7,12,85,79,75,
314,Switzerland,2013,4,2,3,12,7,9,75,77,75,
315,Sweden,2013,7,5,3,24,19,15,81,75,73,
316,Germany,2013,4,6,2,35,15,12,85,84,82,
317,Italy,2013,4,4,10,32,25,18,80,84,81,
318,Chile,2013,9,2,3,33,14,14,78,76,72,
319,Norway,2013,5,5,3,10,17,13,79,71,72,
320,Finland,2013,5,4,3,14,14,12,66,71,69,
321,Russia,2013,5,2,3,18,8,10,78,78,76,
322,Denmark,2013,5,4,2,21,16,11,72,74,75,
