Index,Country,Year,WC_Finals,WC_Qual,WC_Standing,FIFA_Ranking_PreWC
236,Switzerland,2011,0,0,,
251,Turkey,2011,0,0,,
230,Uruguay,2011,0,0,,
270,Argentina,2012,0,0,,
289,Australia,2012,0,0,,
268,Austria,2012,0,0,,
271,Belgium,2012,0,0,,
283,Brazil,2012,0,0,,
293,Bulgaria,2012,0,0,,
302,Cameroon,2012,0,0,,
278,Chile,2012,0,0,,
297,Colombia,2012,0,0,,
299,Croatia,2012,0,0,,
282,Denmark,2012,0,0,,
298,Ecuador,2012,0,0,,
292,Egypt,2012,0,0,,
265,England,2012,0,0,,
280,Finland,2012,0,0,,
272,France,2012,0,0,,
276,Germany,2012,0,0,,
296,Greece,2012,0,0,,
269,Hungary,2012,0,0,,
295,Ireland,2012,0,0,,
277,Italy,2012,0,0,,
300,Korea Republic,2012,0,0,,
291,Mexico,2012,0,0,,
273,Netherlands,2012,0,0,,
286,New Zealand,2012,0,0,,
266,Northern Ireland,2012,0,0,,
279,Norway,2012,0,0,,
294,Peru,2012,0,0,,
285,Poland,2012,0,0,,
288,Portugal,2012,0,0,,
287,Romania,2012,0,0,,
281,Russia,2012,0,0,,
264,Scotland,2012,0,0,,
303,Slovenia,2012,0,0,,
301,South Africa,2012,0,0,,
284,Spain,2012,0,0,,
275,Sweden,2012,0,0,,
274,Switzerland,2012,0,0,,
290,Turkey,2012,0,0,,
267,Uruguay,2012,0,0,,
310,Argentina,2013,0,0,,
330,Australia,2013,0,0,,
308,Austria,2013,0,0,,
311,Belgium,2013,0,0,,
335,Bolivia,2013,0,0,,
323,Brazil,2013,0,0,,
334,Bulgaria,2013,0,0,,
345,Cameroon,2013,0,0,,
318,Chile,2013,0,0,,
339,Colombia,2013,0,0,,
347,Czech Republic,2013,0,0,,
322,Denmark,2013,0,0,,
340,Ecuador,2013,0,0,,
333,Egypt,2013,0,0,,
305,England,2013,0,0,,
320,Finland,2013,0,0,,
312,France,2013,0,0,,
316,Germany,2013,0,0,,
338,Greece,2013,0,0,,
309,Hungary,2013,0,0,,
341,India,2013,0,0,,
337,Ireland,2013,0,0,,
317,Italy,2013,0,0,,
342,Korea Republic,2013,0,0,,
332,Mexico,2013,0,0,,
313,Netherlands,2013,0,0,,
327,New Zealand,2013,0,0,,
306,Northern Ireland,2013,0,0,,
319,Norway,2013,0,0,,
324,Paraguay,2013,0,0,,
336,Peru,2013,0,0,,
326,Poland,2013,0,0,,
329,Portugal,2013,0,0,,
328,Romania,2013,0,0,,
321,Russia,2013,0,0,,
304,Scotland,2013,0,0,,
346,Slovenia,2013,0,0,,
343,South Africa,2013,0,0,,
325,Spain,2013,0,0,,
315,Sweden,2013,0,0,,
314,Switzerland,2013,0,0,,
331,Turkey,2013,0,0,,
307,Uruguay,2013,0,0,,
344,Venezuela,2013,0,0,,
353,Austria,2014,0,0,,
380,Bolivia,2014,0,0,,
379,Bulgaria,2014,0,0,,
392,Czech Republic,2014,0,0,,
